File	F3-4.dat

t(sec)	z(m)
29.75	2.839449541
30	2.863710499
30.25	2.859021407
30.5	2.855147808
30.75	2.827624873
31	2.777370031
31.25	2.735066259
31.5	2.687155963
31.75	2.643221203
32	2.610295617
32.25	2.603975535
32.5	2.611824669
32.75	2.643221203
33	2.664424057
33.25	2.695005097
33.5	2.706014271
33.75	2.719367992
34	2.730275229
34.25	2.731906218
34.5	2.711518858
34.75	2.693476045
35	2.687155963
35.25	2.685626911
35.5	2.691845056
35.75	2.706014271
36	2.719367992
36.25	2.719367992
36.5	2.709174312
36.75	2.691845056
37	2.636187564
37.25	2.57961264
37.5	2.518450561
37.75	2.465035678
38	2.410907238
38.25	2.399898063
38.5	2.424260958
38.75	2.492558614
39	2.607135576
39.25	2.775840979
39.5	2.955555556
39.75	3.11019368
40	3.202752294
40.25	3.244342508
40.5	3.238124363
40.75	3.194087666
41	3.077166157
41.25	2.910805301
41.5	2.74841998
41.75	2.626707441
42	2.537308869
42.25	2.500407747
42.5	2.498776758
42.75	2.534148828
43	2.570234455
43.25	2.603975535
43.5	2.611824669
43.75	2.615698267
44	2.591437309
44.25	2.561569827
44.5	2.513761468
44.75	2.466666667
45	2.436799185
45.25	2.424260958
45.5	2.419571865
45.75	2.446992864
46	2.498776758
46.25	2.587461774
46.5	2.690316004
46.75	2.789194699
47	2.876248726
47.25	2.933537207
47.5	2.975127421
47.75	2.996330275
48	3.011314985
48.25	3.016004077
48.5	3.002650357
48.75	2.954026504
49	2.883384302
49.25	2.79235474
49.5	2.704383282
49.75	2.612640163
50	2.521610601
50.25	2.44077472
50.5	2.360652396
50.75	2.305708461
51	2.25861366
51.25	2.216309888
51.5	2.19745158
51.75	2.166055046
52	2.1872579
52.25	2.266462793
52.5	2.386544343
52.75	2.550560652
53	2.722426096
53.25	2.863710499
53.5	2.983792049
53.75	3.06146789
54	3.113251784
54.25	3.122731906
54.5	3.107033639
54.75	3.088990826
55	3.049745158
55.25	3.002650357
55.5	2.913965341
55.75	2.808766565
56	2.680122324
56.25	2.530988787
56.5	2.352803262
56.75	2.185626911
57	2.049847095
57.25	1.926707441
57.5	1.843527013
57.75	1.809785933
58	1.823853211
58.25	1.898470948
58.5	2.013761468
58.75	2.202140673
59	2.44077472
59.25	2.687155963
59.5	2.894291539
59.75	3.064627931
60	3.224770642
60.25	3.289908257
60.5	3.30795107
60.75	3.273394495
61	3.189398573
61.25	3.087359837
61.5	2.975127421
61.75	2.839449541
62	2.704383282
62.25	2.600815494
62.5	2.501936799
62.75	2.414067278
63	2.35127421
63.25	2.313557594
63.5	2.276656473
63.75	2.279816514
64	2.297859327
64.25	2.328542304
64.5	2.388175331
64.75	2.492558614
65	2.585932722
65.25	2.667584098
65.5	2.745259939
65.75	2.82293578
66	2.871559633
66.25	2.905300714
66.5	2.931192661
66.75	2.933537207
67	2.920285423
67.25	2.892762487
67.5	2.85667686
67.75	2.815086646
68	2.74841998
68.25	2.691845056
68.5	2.63853211
68.75	2.607135576
69	2.607135576
69.25	2.636901121
69.5	2.696534149
69.75	2.759327217
70	2.830784913
70.25	2.874719674
70.5	2.894291539
70.75	2.884913354
71	2.845667686
71.25	2.771151886
71.5	2.696534149
71.75	2.581243629
72	2.483893986
72.25	2.399898063
72.5	2.348114169
72.75	2.349643221
73	2.38185525
73.25	2.422629969
73.5	2.494087666
73.75	2.560040775
74	2.623547401
74.25	2.664424057
74.5	2.690316004
74.75	2.70988787
75	2.724057085
75.25	2.727217125
75.5	2.746788991
75.75	2.759327217
76	2.780530071
76.25	2.803261978
76.5	2.808766565
76.75	2.804892966
77	2.793883792
77.25	2.760142712
77.5	2.73343527
77.75	2.695005097
78	2.65891947
78.25	2.62833843
78.5	2.608664628
78.75	2.591437309
79	2.58980632
79.25	2.605504587
79.5	2.617329256
79.75	2.636187564
80	2.652599388
80.25	2.65891947
80.5	2.644750255
80.75	2.622018349
81	2.602446483
81.25	2.58980632
81.5	2.58980632
81.75	2.615698267
82	2.655759429
82.25	2.696534149
82.5	2.727217125
82.75	2.742099898
83	2.735066259
83.25	2.722426096
83.5	2.685626911
83.75	2.654230377
84	2.612640163
84.25	2.57961264
84.5	2.561569827
84.75	2.567074414
85	2.600815494
85.25	2.667584098
85.5	2.753109072
85.75	2.813557594
86	2.85351682
86.25	2.855147808
86.5	2.837818552
86.75	2.801732926
87	2.759327217
87.25	2.725586137
87.5	2.738939857
87.75	2.784505607
88	2.847298675
88.25	2.910805301
88.5	2.961060143
88.75	2.968909276
89	2.949235474
89.25	2.902140673
89.5	2.837818552
89.75	2.764831804
90	2.685626911
90.25	2.607135576
90.5	2.558409786
90.75	2.539653415
91	2.568603466
91.25	2.626707441
91.5	2.678491335
91.75	2.714576962
92	2.73343527
92.25	2.730275229
92.5	2.688685015
92.75	2.625178389
93	2.582772681
93.25	2.553720693
93.5	2.550560652
93.75	2.582772681
94	2.607135576
94.25	2.644750255
94.5	2.667584098
94.75	2.673802243
95	2.685626911
95.25	2.701325178
95.5	2.735779817
95.75	2.806422018
96	2.883384302
96.25	2.950866463
96.5	3.001121305
96.75	3.017533129
97	2.994801223
97.25	2.959531091
97.5	2.879408767
97.75	2.769520897
98	2.617329256
98.25	2.451681957
98.5	2.317533129
98.75	2.211518858
99	2.166055046
99.25	2.195107034
99.5	2.263404689
99.75	2.355963303
100	2.466666667
100.25	2.599286442
100.5	2.73343527
100.75	2.871559633
101	3.008154944
101.25	3.127420999
101.5	3.183180428
101.75	3.213761468
102	3.228644241
102.25	3.213761468
102.5	3.137614679
102.75	3.032517839
103	2.895922528
103.25	2.73343527
103.5	2.521610601
103.75	2.323751274
104	2.14332314
104.25	2.025586137
104.5	1.921202854
104.75	1.861569827
105	1.853720693
105.25	1.864729867
105.5	1.905504587
105.75	1.95412844
106	2.039653415
106.25	2.114271152
106.5	2.211518858
106.75	2.34108053
107	2.500407747
107.25	2.709174312
107.5	2.926503568
107.75	3.111722732
108	3.285219164
108.25	3.384097859
108.5	3.414678899
108.75	3.332212029
109	3.209072375
109.25	3.045056065
109.5	2.839449541
109.75	2.578083588
110	2.348114169
110.25	2.1872579
110.5	2.082059123
110.75	2.054638124
111	2.098572885
111.25	2.115800204
111.5	2.133843017
111.75	2.193476045
112	2.244546381
112.25	2.286136595
112.5	2.336391437
112.75	2.41243629
113	2.498776758
113.25	2.585932722
113.5	2.690316004
113.75	2.789194699
114	2.82293578
114.25	2.902140673
114.5	2.964220183
114.75	2.997961264
115	3.012844037
115.25	2.997961264
115.5	2.980632008
115.75	2.947706422
116	2.899082569
116.25	2.847298675
116.5	2.774311927
116.75	2.717737003
117	2.652599388
117.25	2.587461774
117.5	2.555351682
117.75	2.529459735
118	2.519979613
118.25	2.523139653
118.5	2.5490316
118.75	2.567074414
119	2.591437309
119.25	2.597655454
119.5	2.591437309
119.75	2.596126402
120	2.610295617
120.25	2.633027523
120.5	2.655759429
120.75	2.690316004
121	2.730275229
121.25	2.763302752
121.5	2.779001019
121.75	2.777370031
122	2.757798165
122.25	2.724057085
122.5	2.680122324
122.75	2.644750255
123	2.615698267
123.25	2.615698267
123.5	2.629867482
123.75	2.651070336
124	2.678491335
124.25	2.696534149
124.5	2.717737003
124.75	2.714576962
125	2.69969419
125.25	2.654230377
125.5	2.610295617
125.75	2.563914373
126	2.54587156
126.25	2.537308869
126.5	2.560040775
126.75	2.612640163
127	2.673802243
127.25	2.728746177
127.5	2.806422018
127.75	2.855147808
128	2.889602446
128.25	2.892762487
128.5	2.86687054
128.75	2.83312946
129	2.78216106
129.25	2.724057085
129.5	2.662793068
129.75	2.608664628
130	2.560040775
130.25	2.509785933
130.5	2.453312946
130.75	2.386544343
131	2.308868502
131.25	2.244546381
131.5	2.195107034
131.75	2.1872579
132	2.203669725
132.25	2.268807339
132.5	2.360652396
132.75	2.451681957
133	2.542711519
133.25	2.612640163
133.5	2.665953109
133.75	2.704383282
134	2.737410805
134.25	2.766462793
134.5	2.793883792
134.75	2.832313965
135	2.874719674
135.25	2.933537207
135.5	2.997961264
135.75	3.064627931
136	3.111722732
136.25	3.116411825
136.5	3.1
136.75	3.066258919
137	3.002650357
137.25	2.91243629
137.5	2.826095821
137.75	2.740570846
138	2.665953109
138.25	2.610295617
138.5	2.565545362
138.75	2.542711519
139	2.519979613
139.25	2.503465851
139.5	2.508256881
139.75	2.51529052
140	2.509785933
140.25	2.509785933
140.5	2.500407747
140.75	2.498776758
141	2.489398573
141.25	2.485423038
141.5	2.494087666
141.75	2.503465851
142	2.511314985
142.25	2.523139653
142.5	2.54587156
142.75	2.578083588
143	2.605504587
143.25	2.652599388
143.5	2.724057085
143.75	2.804892966
144	2.892762487
144.25	2.968909276
144.5	3.046585117
144.75	3.1
145	3.132925586
145.25	3.151783894
145.5	3.137614679
145.75	3.082670744
146	3.048114169
146.25	2.99011213
146.5	2.884913354
146.75	2.767991845
147	2.652599388
147.25	2.53883792
147.5	2.46116208
147.75	2.366972477
148	2.253924567
148.25	2.173088685
148.5	2.06401631
148.75	1.952599388
149	1.893679918
149.25	1.840366972
149.5	1.834046891
149.75	1.893679918
150	2.068705403
150.25	2.315188583
150.5	2.573394495
150.75	2.793883792
151	2.973598369
151.25	3.093679918
151.5	3.176860347
151.75	3.209072375
152	3.212232416
152.25	3.176860347
152.5	3.121100917
152.75	3.055249745
153	2.962589195
153.25	2.892762487
153.5	2.83312946
153.75	2.783690112
154	2.740570846
154.25	2.695005097
154.5	2.644750255
154.75	2.597655454
155	2.530988787
155.25	2.465035678
155.5	2.406218145
155.75	2.378695209
156	2.363812436
156.25	2.378695209
